id;title;entity_field_name;type;table_column_name;column_width;hide_in_list;common_table_id;system;edit_in_list;client_read_only;field_values;order;not_null;validate_rules;tree_indicator;end_used;hide_in_form;sortable;search_form
13;Id;id;STRING;id;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;true;true
14;processDefinitionId;processDefinitionId;STRING;processDefinitionId;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false;true
15;processDefinitionUrl;processDefinitionUrl;STRING;processDefinitionUrl;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false;false
16;processInstanceId;processInstanceId;STRING;processInstanceId;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false;true
17;processInstanceUrl;processInstanceUrl;STRING;processInstanceUrl;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false;false
18;executionId;executionId;STRING;executionId;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false;true
19;name;name;STRING;name;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false;true
20;description;description;STRING;description;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false;false
21;deleteReason;deleteReason;STRING;deleteReason;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false;true
22;owner;owner;STRING;owner;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false;true
23;assignee;assignee;STRING;assignee;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false;true
24;startTime;startTime;STRING;startTime;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false;true
25;endTime;endTime;STRING;endTime;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false;true
26;durationInMillis;durationInMillis;LONG;durationInMillis;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false;false
27;workTimeInMillis;workTimeInMillis;LONG;workTimeInMillis;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false;false
28;claimTime;claimTime;STRING;claimTime;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false;true
29;taskDefinitionKey;taskDefinitionKey;STRING;taskDefinitionKey;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false;true
30;formKey;formKey;STRING;formKey;100;false;2;true;false;false;NULL;0;false;NULL;false;NULL;false;false;true
